name,lat,long
Monga national park,-35.664427,149.937507
Budawang national park,-35.437614,150.050209
Murramarang national park,-35.584394,150.303522
Meroo national park,-35.470955,150.371555
Conjola national park,-35.177395,150.491816
Morton national park,-35.230354,150.220586
Jervis bay national park ,-34.944145,150.735582
Tallaganda state park,-35.508073,149.58394
Nattai national park,-34.240411,150.403069
Kanangra-boyd national park,-33.958614,150.135279
Abercrombie river national park,-34.108838,149.698443
Blue mountains national park,-33.633809,150.497385
Dharawal national park,-34.20237,150.855069
Royal national park,-34.1338,151.049287
Wollemi national park,-32.958878,150.412706
Yengo national park,-33.09244,150.851264
Dharug national park,-33.382943,151.062987
Marramarra national park,-33.494104,151.117848
Brisbane water national park,-33.51815,151.273156
Garigal national park,-33.700549,151.237174
Ku-ring-gai chase national park,-33.629597,151.231409
Watagans national park,-33.008888,151.377228
Werakata national park,-32.876352,151.383302
Kuaruah national park,-32.589748,151.945533
Barrington tops national park,-32.079538,151.456527
Curracabudi national park,-31.655834,151.618261
Nowendoc national park,-31.504443,151.580495
Barakee national park,-31.632565,151.841633
Woko national park,-31.765993,151.784849
Topin tops national park,-31.660039,152.196055
Cottan-bimbang national park,-31.345656,152.094448
Willi willi national park,-31.113733,152.456604
Kumbatine national park,-31.150762,152.608476
Limeburners creek national park,-31.333226,152.912244
Werrikimbe national park,-31.212623,152.24572
Oxley wild rivers national park,-30.959229,152.162956
New england national park,-30.597009,152.464373
Cathedral rock national park,-30.445584,152.205984
Bellinger river national park,-30.413382,152.701864
Dorrigo national park,-30.352963,152.821437
Bindarri national park,-30.304364,152.93139
Cascade national park,-30.260485,152.811817
Bongil national park,-30.412378,153.066537
Nymboi-binderay national park,-30.141796,152.702248
Guy fawkes rivers national park,-29.985141,152.24203
Barool national park,-29.674202,152.221414
Nymboida national park,-29.659882,152.441216
Gibraltar range national park,-29.529722,152.360126
Washpool national park,-29.358707,152.345007
Yuraygir national park,-29.824198,153.222592
Fortis creek national park,-29.50499,152.931974
Yabbra national park,-28.641419,152.491888
Richmond range national park,-28.596816,152.711723
Toonumbar national park,-28.494879,152.738524
Mount barney national park,-28.290343,152.680988
Border ranges national park,-28.417239,153.064447
Nightcap national park,-28.56124,153.318607
Mebbin national park,-28.454439,153.164508
Wollumbin national park,-28.391216,153.257641
Lamington national park,-28.245591,153.162029
Springbrook national park,-28.240752,153.342077
Tamborine national park,-27.873435,153.188915
John forrest national park,-31.870674,116.090773
Queens park,-32.00324,115.957295
Jandakot regional park,-32.107325,115.90979
Beeliar regional park,-32.148697,115.829114
Hartfield park,-31.99969,116.000603
Mundy regional park,-31.986296,116.034963
Korung national park,-32.059648,116.079288
Serpentine national park,-32.388773,116.057232
Breckler park,-31.898342,115.864261
Celebration park,-31.853116,115.826654
Yellagonga regional park,-31.747832,115.785877
Neerabup national park,-31.707971,115.751016
Yanchep national park,-31.521598,115.669882
Beelu national park,-31.94246,116.142698
Helena national park,-31.971259,116.263229
Wandoo national park,-32.094664,116.554604
Lupton conservation park,-32.470025,116.657316
Lane poole reserve park,-32.763139,116.011095
Wellington national park,-33.365168,115.957632
Tuart forest national park,-33.544082,115.517448
Whicher national park,-33.786789,115.486269
Rapids conservation park,-33.898743,115.295692
Greater beedelup national park,-34.370866,115.865197
Greater kingston national park,-34.178169,116.386783
Shannon national park,-34.54886,116.430728
Jane national park,-34.604265,116.22869
Mount frankland south national park,-34.85595,116.61215
Mount frankland national park,-34.753337,116.665606
Mount frankland north national park,-34.674317,116.68206
Lake muir national park,-34.563563,116.723292
Mount roe national park,-34.713149,117.010631
Mount lindesoy national park,-34.834976,117.343238
Stirling range national park,-34.405529,117.906744
Wilsons promontory national park,-38.9517,146.343009
Mount william national park,-41.042276,148.15424
Ben lomond national park,-41.568598,147.660863
Maria island national park,-42.64921,148.098865
Douglas-apsley national park,-41.778881,148.193511
Narawntapu national park,-41.11257,146.655882
Cradle mountain lake st clair national park,-41.87036,145.935981
Walls of jerusalem national park,-41.90512,146.231495
Franklin gordon wild rivers national park,-42.454653,145.951116
Southwest national park,-43.19055,146.195102
Mount field national park,-42.650516,146.590352
Jardine river national park,-11.390598,142.630875
Daintree national park,-16.300081,145.190775
Mount lewis national park,-16.526661,145.273239
Kuranda national park,-16.700368,145.438168
Tully gorge national park,-17.821119,145.857697
Koobooloomba national park,-17.912613,145.646039
Girramay national park,-18.159411,145.848077
Girringun national park,-18.502258,145.444001
Paluma range national park,-19.188481,146.379361
Bowling green bay national park,-19.505937,146.953711
Carnarvon national park,-25.034322,148.086284
Expedition (limited depth) national park,-25.280441,149.055479
Bania national park,-25.087328,151.480709
