(Base) Category,(Delivery Area) Delivery Area,(Round) Round,Name,(Project) Id,(Project) Title,(Project) Description,(Project) Status,(Activity) Activity,(Approved/Not Approved Funding Details) Minister Approved Date,(Demographic Information) Target Group,(Demographic Information) Age group,Total Updated Approved Amount,(Location) Electorate,(Location) LGA,(Location) Suburb/City,(State Region) State Region,(Location) SEIFA Ranking,(Location) SEIFA Decile,Longitude,Latitude,(Location) Address Line 1,Delivery Agent Address Postcode,Delivery Agent Mailing Address Postcode
Capital Funding,Get Playing Places and Spaces,Get Playing Places and Spaces Round 7,Wolston Park Centenary Cricket Club Inc,GPPS-GPPS07-2018-0044,Wolston Park Centenary Cricket Club Inc,"construct a new toilet facility to support cricket at Wolston Park, Wacol",Active,Cricket,12/12/2018,No specific target group,"Female (0 - 17 years),Male (0 - 17 years)","$85,554.00 ",INALA,BRISBANE CITY,WACOL,South Coast,,,152.912835,-27.598649,119 Wiglow Street,4076,4074
Capital Funding,Get Playing Places and Spaces,Get Playing Places and Spaces Round 7,Palm Island Aboriginal Council,GPPS-GPPS07-2018-0045,Palm Island Aboriginal Council,construct two new half-courts to support basketball at Palm Island,Active,"Basketball,Handball",12/12/2018,Aboriginal and Torres Strait Islander people,"Female (0 - 17 years),Female (18 - 24 years),Male (0 - 17 years),Male (18 - 24 years)","$66,467.00 ",TOWNSVILLE,PALM ISLAND ABORIGINAL SHIRE,PALM ISLAND,Northern,562,1,146.585373,-18.759745,1022 Bennet Blanket Snr Road,4816,4816
Capital Funding,Get Playing Places and Spaces,Get Playing Places and Spaces Round 7,Queensland Police-citizens Youth Welfare Association,GPPS-GPPS07-2018-0047,Queensland Police-Citizens Youth Welfare Association (Beenleigh),upgrade existing floor space to support gymnastics and cheerleading at Beenleigh,Active,"Cheerleading,Gymnastics,Mixed Martial Art",12/12/2018,No specific target group,All age groups and genders (i.e. general community),"$146,573.00 ",MACALISTER,LOGAN CITY,BEENLEIGH,South Coast,804,1,153.205534,-27.711797,20 38 Alamein Street,4173,4173
Capital Funding,Get Playing Places and Spaces,Get Playing Places and Spaces Round 7,Mount Warren Park Golf Club Incorporated,GPPS-GPPS07-2018-0050,Mount Warren Park Golf Club Incorporated,upgrade the existing dams and install a new irrigation system to support golf at Mount Warren Park,Active,Golf,12/12/2018,No specific target group,All age groups and genders (i.e. general community),"$140,857.00 ",MACALISTER,LOGAN CITY,MOUNT WARREN PARK,South Coast,1037,6,153.21432,-27.732986,13 Bardyn Halliday Drive,4207,4207
Capital Funding,Get Playing Places and Spaces,Get Playing Places and Spaces Round 7,Northern Suburbs Bowls Club Inc,GPPS-GPPS07-2018-0054,Northern Suburbs Bowls Club Inc,upgrade an existing green to support lawn bowls at Wavell Heights,Active,Bowls - Lawn,12/12/2018,No specific target group,All age groups and genders (i.e. general community),"$150,000.00 ",NUDGEE,BRISBANE CITY,WAVELL HEIGHTS,North Coast,,,153.04111,-27.401774,175 Edinburgh Castle Road,4012,4012
Capital Funding,Get Playing Places and Spaces,Get Playing Places and Spaces Round 7,Cairns District Junior Rugby League Limited,GPPS-GPPS07-2018-0070,Cairns District Junior Rugby League Limited,"install new field lighting to support multi-sport at Jones Park, Wescourt",Active,"Oztag,Rugby League,Rugby Union,Touch",12/12/2018,"No specific target group ,Aboriginal and Torres Strait Islander people",All age groups and genders (i.e. general community),"$150,000.00 ",CAIRNS,CAIRNS REGIONAL,WESTCOURT,Far North,1050,7,145.758223,-16.924309,18 40 Mann Street,4870,4870
Capital Funding,Get Playing Places and Spaces,Get Playing Places and Spaces Round 7,Brisbane Rugby League Referees Association Incorporated,GPPS-GPPS07-2018-0074,Brisbane Rugby League Referees Association Incorporated,"upgrade existing lighting to support multi-sports at  J.F O'Grady Memorial Park, Fairfield",Active,"Athletics Little,Rugby League,Touch",12/12/2018,No specific target group,All age groups and genders (i.e. general community),"$74,782.00 ",MILLER,BRISBANE CITY,FAIRFIELD,South Coast,1087,9,153.02335,-27.506738,102 Victoria Street,4103,4103
Capital Funding,Get Playing Places and Spaces,Get Playing Places and Spaces Round 7,Burpengary Junior Rugby League Football Club Inc.,GPPS-GPPS07-2018-0076,Burpengary Junior Rugby League Football Club Inc.,supply and install new poles and lighting to support rugby league at Burpengary,Active,"Oztag,Rugby League",12/12/2018,No specific target group,"Female (0 - 17 years),Male (0 - 17 years)","$57,809.00 ",KURWONGBAH,MORETON BAY REGIONAL,BURPENGARY,North Coast,851,1,152.96619,-27.15631,101 121 Station Road,4505,4505
Capital Funding,Get Playing Places and Spaces,Get Playing Places and Spaces Round 7,Underwood Park Netball Association Incorporated,GPPS-GPPS07-2018-0081,Underwood Park Netball Association Incorporated,upgrade three existing courts to support netball at Underwood,Active,Netball,12/12/2018,No specific target group,"Female (0 - 17 years),Female (18 - 24 years),Female (25 - 54 years),Female (55 years or older),Male (0 - 17 years),Male (18 - 24 years),Male (25 - 54 years)","$150,000.00 ",SPRINGWOOD,LOGAN CITY,PRIESTDALE,South Coast,1082,8,153.148062,-27.599341,956 980 Underwood Road,4127,4127
Capital Funding,Get Playing Places and Spaces,Get Playing Places and Spaces Round 7,Mackay Junior Rugby Football League Inc.,GPPS-GPPS07-2018-0082,Mackay Junior Rugby Football League Inc.,install new lighting to support rugby league at Mackay,Active,Rugby League,12/12/2018,No specific target group,All age groups and genders (i.e. general community),"$140,622.00 ",MACKAY,MACKAY REGIONAL,SOUTH MACKAY,Northern,,,149.183491,-21.162748,Casey Avenue,4740,4740
Capital Funding,Get Playing Places and Spaces,Get Playing Places and Spaces Round 7,Western Suburbs Junior Rugby League Club Inc.,GPPS-GPPS07-2018-0083,Western Suburbs Junior Rugby League Inc.,upgrade existing lighting to support football at Bundaberg,Active,"Cricket,Rugby League,Rugby Union,Softball",12/12/2018,No specific target group,All age groups and genders (i.e. general community),"$64,702.00 ",BUNDABERG,BUNDABERG REGIONAL,MILLBANK,South West,881,2,152.326367,-24.876326,30a Avoca Street,4670,4670
Capital Funding,Get Playing Places and Spaces,Get Playing Places and Spaces Round 7,The Redcliffe District Rugby League Football Club Incorporated,GPPS-GPPS07-2018-0084,The Redcliffe District Rugby League Football Club Incorporated,upgrade an existing field one to support rugby league and touch football at Redcliffe,Active,"Rugby League,Touch",12/12/2018,No specific target group,"Female (0 - 17 years),Female (18 - 24 years),Female (25 - 54 years),Male (0 - 17 years),Male (18 - 24 years),Male (25 - 54 years)","$142,260.00 ",REDCLIFFE,MORETON BAY REGIONAL,KIPPA-RING,North Coast,,,153.097293,-27.218846,148 Klingner Road,4021,4020
Capital Funding,Get Playing Places and Spaces,Get Playing Places and Spaces Round 7,St Catherine's United Football Club Inc.,GPPS-GPPS07-2018-0089,St Catherine's United Football Club Inc.,upgrade existing lighting to support football at Middle Park,Active,"Football,Touch",12/12/2018,No specific target group,All age groups and genders (i.e. general community),"$145,120.00 ",MOUNT OMMANEY,BRISBANE CITY,MIDDLE PARK,South Coast,1117,10,152.920991,-27.551151,141 Horizon Drive,4074,4074
Capital Funding,Get Playing Places and Spaces,Get Playing Places and Spaces Round 7,Dalby Bowls Club Incorporated,GPPS-GPPS07-2018-0091,Dalby Bowls Club Incorporated,replace existing green to support lawn bowls at Dalby,Active,Bowls - Lawn,12/12/2018,No specific target group,All age groups and genders (i.e. general community),"$56,103.00 ",WARREGO,WESTERN DOWNS REGIONAL,DALBY,South West,940,3,151.267824,-27.184116,58f Patrick Street,4405,4405
Capital Funding,Get Playing Places and Spaces,Get Playing Places and Spaces Round 7,Ayr Bowling Club Inc.,GPPS-GPPS07-2018-0106,Ayr Bowling Club Inc.,replace existing synthetic green to support lawn bowls at Ayr,Active,Bowls - Lawn,12/12/2018,No specific target group,All age groups and genders (i.e. general community),"$150,000.00 ",BURDEKIN,BURDEKIN SHIRE,AYR,Northern,828,1,147.400945,-19.572961,101 Young Street,4807,4807
Capital Funding,Get Playing Places and Spaces,Get Playing Places and Spaces Round 7,Cairns Pirates Touch Football Assoc Inc.,GPPS-GPPS07-2018-0114,Cairns Pirates Touch Football Assoc Inc.,"upgrade existing toilets, change rooms and referees room to support touch football at Aeroglen, Cairns",Active,Touch,12/12/2018,"No specific target group ,Aboriginal and Torres Strait Islander people,Aboriginal people,Torres Strait Islander people,Culturally and linguistically diverse (CALD),People with a Disability",All age groups and genders (i.e. general community),"$119,981.00 ",CAIRNS,CAIRNS REGIONAL,AEROGLEN,Far North,1048,7,145.749581,-16.889206,19 25 Quarry Street,4870,4870
Capital Funding,Get Playing Places and Spaces,Get Playing Places and Spaces Round 7,Cahill Park Sports Complex Incorporated,GPPS-GPPS07-2018-0120,Cahill Park Sports Complex Incorporated,"install new lighting to support netball at Cahill Park, Gatton",Active,Netball,12/12/2018,No specific target group,All age groups and genders (i.e. general community),"$132,442.00 ",LOCKYER,LOCKYER VALLEY REGIONAL,GATTON,South West,866,1,152.287061,-27.547941,43 Princess Street,4343,4343
Capital Funding,Get Playing Places and Spaces,Get Playing Places and Spaces Round 7,Aurukun Shire Council,GPPS-GPPS07-2018-0126,Aurukun Shire Council,"resurface four existing courts, install lighting and repair perimeter fencing to support basketball at Aurukun",Active,"Active Play,Active Recreation,Basketball",12/12/2018,Aboriginal and Torres Strait Islander people,All age groups and genders (i.e. general community),"$150,000.00 ",COOK,AURUKUN SHIRE,AURUKUN,Far North,504,1,141.727959,-13.359025,Tal Tal Street,4892,4892
Capital Funding,Get Playing Places and Spaces,Get Playing Places and Spaces Round 7,Mareeba Gymnastics Club Inc,GPPS-GPPS07-2018-0127,Mareeba Gymnastics Club Inc,construct a new awning to support gymnastics at Mareeba,Active,Gymnastics,12/12/2018,No specific target group,"Female (0 - 17 years),Male (0 - 17 years)","$63,688.00 ",COOK,MAREEBA SHIRE,MAREEBA,Far North,783,1,145.418782,-16.995005,31 39 Abbott Street,4880,4880
Capital Funding,Get Playing Places and Spaces,Get Playing Places and Spaces Round 7,Ayr Golf Club Inc.,GPPS-GPPS07-2018-0129,Ayr Golf Club Inc.,upgrade existing amenities to support golf at Ayr,Active,Golf,12/12/2018,"No specific target group ,People with a Disability","All age groups and genders (i.e. general community) ,Female (0 - 17 years),Female (18 - 24 years),Female (25 - 54 years),Female (55 years or older),Male (0 - 17 years),Male (18 - 24 years),Male (25 - 54 years),Male (55 years or older)","$150,000.00 ",BURDEKIN,BURDEKIN SHIRE,AYR,Northern,893,2,147.411118,-19.580456,209 221 Edwards Street,4807,4807
Capital Funding,Get Playing Places and Spaces,Get Playing Places and Spaces Round 7,South Townsville Bowls Club Inc,GPPS-GPPS07-2018-0131,South Townsville Bowls Club Inc,replace an existing green to support lawn bowls at Townsville,Active,Bowls - Lawn,12/12/2018,No specific target group,All age groups and genders (i.e. general community),"$117,084.00 ",TOWNSVILLE,TOWNSVILLE CITY,SOUTH TOWNSVILLE,Northern,950,3,146.82597,-19.268483,2c Bell Street,4810,4810
Capital Funding,Get Playing Places and Spaces,Get Playing Places and Spaces Round 7,Boulia Shire Council,GPPS-GPPS07-2018-0132,Boulia Shire Council,replace two existing synthetic grass courts to support tennis and basketball at Boulia,Active,"Basketball,Tennis",12/12/2018,No specific target group,All age groups and genders (i.e. general community),"$89,800.00 ",GREGORY,BOULIA SHIRE,BOULIA,Northern,836,1,139.912601,-22.907338,50 Burke Street,4829,4829
Capital Funding,Get Playing Places and Spaces,Get Playing Places and Spaces Round 7,The Noosa Croquet Club Inc.,GPPS-GPPS07-2018-0144,The Noosa Croquet Club Inc.,upgrade the existing irrigation system to support croquet at Noosa,Active,Croquet,12/12/2018,No specific target group,All age groups and genders (i.e. general community),$0.00 ,NOOSA,NOOSA SHIRE,NOOSAVILLE,North Coast,1106,10,153.051633,-26.409996,9 Seashell Place,4566,4565
Capital Funding,Get Playing Places and Spaces,Get Playing Places and Spaces Round 7,Silkwood Clay Target Club Inc.,GPPS-GPPS07-2018-0152,Silkwood Clay Target Club Inc.,"construct a new trap layout, including trap house, a new storage shed and upgrade the existing switchboard to support shooting at Silkwood",Active,Shooting - Sporting Clays,12/12/2018,No specific target group,All age groups and genders (i.e. general community),"$109,320.00 ",HILL,CASSOWARY COAST REGIONAL,SILKWOOD,Far North,864,1,146.019166,-17.7487,Japoon Road,4856,4856
Capital Funding,Get Playing Places and Spaces,Get Playing Places and Spaces Round 7,Yatala Junior Rugby Union Club Incorporated,GPPS-GPPS07-2018-0153,Yatala Junior Rugby Union Club Incorporated,install new lighting at Windaroo Valley State School to support rugby union at Bahrs Scrub,Active,"Active Play,Active Recreation,Rugby Union",12/12/2018,No specific target group,"All age groups and genders (i.e. general community) ,Female (0 - 17 years),Male (0 - 17 years)","$115,768.00 ",MACALISTER,LOGAN CITY,BAHRS SCRUB,South Coast,1071,8,153.188804,-27.739688,240 Beaudesert Beenleigh Road,4207,4208
Capital Funding,Get Playing Places and Spaces,Get Playing Places and Spaces Round 7,Blackbutt Golf Club Inc,GPPS-GPPS07-2018-0154,Blackbutt Golf Club Inc,upgrade existing irrigation system to support golf at Blackbutt,Active,Golf,12/12/2018,No specific target group,"All age groups and genders (i.e. general community) ,Female (0 - 17 years),Female (18 - 24 years),Female (25 - 54 years),Female (55 years or older),Male (0 - 17 years),Male (18 - 24 years),Male (25 - 54 years),Male (55 years or older)","$100,000.00 ",NANANGO,SOUTH BURNETT REGIONAL,BLACKBUTT NORTH,South West,834,1,152.099018,-26.864558,51 Langton Road,4314,4314
Capital Funding,Get Playing Places and Spaces,Get Playing Places and Spaces Round 7,Ballandean Football Club Inc.,GPPS-GPPS07-2018-0162,Ballandean Football Club Inc.,upgrade existing lighting to support football at Ballandean,Active,Football,12/12/2018,No specific target group,All age groups and genders (i.e. general community),"$141,218.00 ",SOUTHERN DOWNS,SOUTHERN DOWNS REGIONAL,BALLANDEAN,South West,1001,5,151.841124,-28.804503,27 Curr Road,4382,4382
Capital Funding,Get Playing Places and Spaces,Get Playing Places and Spaces Round 7,Widgee District - Hall And Recreation Association Inc,GPPS-GPPS07-2018-0172,Widgee District - Hall And Recreation Association Inc,install new lighting and upgrade existing power supply to support horse sports at Widgee,Active,"Barrel Racing,Campdraft,Carriage Driving,Endurance Riding,Equestrian,Horse Riding - Recreational,Pony Club,Riding For Disabled",12/12/2018,No specific target group,All age groups and genders (i.e. general community),"$120,032.00 ",GYMPIE,GYMPIE REGIONAL,WIDGEE,South West,894,2,152.436823,-26.20213,22 Upper Widgee Road,4570,4570
Capital Funding,Get Playing Places and Spaces,Get Playing Places and Spaces Round 7,Mckinlay Shire Council,GPPS-GPPS07-2018-0175,Mckinlay Shire Council,extend an existing gym to support fitness activities at Julia Creek,Active,"Active Recreation,Aerobics",12/12/2018,No specific target group,"All age groups and genders (i.e. general community) ,Female (0 - 17 years),Female (18 - 24 years),Female (25 - 54 years),Female (55 years or older),Male (18 - 24 years),Male (25 - 54 years),Male (55 years or older)","$150,000.00 ",TRAEGER,MCKINLAY SHIRE,JULIA CREEK,Northern,951,3,141.746354,-20.653727,24 Julia Street,4823,4823
Capital Funding,Get Playing Places and Spaces,Get Playing Places and Spaces Round 7,North Brisbane Fc Inc.,GPPS-GPPS07-2018-0178,North Brisbane FC Inc.,"resurface an existing field and install new perimeter fencing to support football and touch football at Prentice Park, Lutwyche",Active,"Football,Touch",12/12/2018,No specific target group,"All age groups and genders (i.e. general community) ,Female (0 - 17 years),Female (18 - 24 years),Female (25 - 54 years),Female (55 years or older),Male (0 - 17 years),Male (18 - 24 years),Male (25 - 54 years),Male (55 years or older)","$137,916.00 ",CLAYFIELD,BRISBANE CITY,LUTWYCHE,North Coast,1060,7,153.032158,-27.421411,44 Thistle Street,4030,4017
Capital Funding,Get Playing Places and Spaces,Get Playing Places and Spaces Round 7,Clairvaux Soccer Club Incorporated,GPPS-GPPS07-2018-0183,Clairvaux Soccer Club Incorporated,"resurface existing field to support football at Clairvaux MacKillop College, Mount Gravatt",Active,"Football,Rugby League,Touch",12/12/2018,No specific target group,All age groups and genders (i.e. general community),"$106,099.00 ",MANSFIELD,BRISBANE CITY,UPPER MOUNT GRAVATT,South Coast,1031,6,153.075894,-27.553398,52 Klumpp Road,4122,4122
Capital Funding,Get Playing Places and Spaces,Get Playing Places and Spaces Round 7,Townsville Rockwheelers Mountain Bike Club Inc.,GPPS-GPPS07-2018-0198,Townsville Rockwheelers Mountain Bike Club Inc.,"construct new trails to support mountain biking at Douglas Mountain Bike Reserve, Townsville",Active,Mountain Biking,12/12/2018,No specific target group,All age groups and genders (i.e. general community),"$77,000.00 ",MUNDINGBURRA,TOWNSVILLE CITY,DOUGLAS,Northern,,,146.743943,-19.330136,402 474 Angus Smith Drive,4810,4810
Capital Funding,Get Playing Places and Spaces,Get Playing Places and Spaces Round 7,Cherbourg Sports Club Inc,GPPS-GPPS07-2018-0203,Cherbourg Sports Club Inc,upgrade existing field to support multi-sport at Cherbourg,Active,"Active Play,Active Recreation,Athletics Little,Cricket,Football,Netball,Softball,Touch,Traditional Indigenous Dance,Traditional Indigenous Games",12/12/2018,Aboriginal and Torres Strait Islander people,All age groups and genders (i.e. general community),"$103,787.00 ",NANANGO,CHERBOURG ABORIGINAL SHIRE,CHERBOURG,South West,404,1,151.955446,-26.294499,Fisher Street,4605,4605
Capital Funding,Get Playing Places and Spaces,Get Playing Places and Spaces Round 7,Augathella Junior Rugby League Inc.,GPPS-GPPS07-2018-0205,Augathella Junior Rugby League Inc.,upgrade existing lighting to support rugby league at Augathella,Active,"Rugby League,Touch",12/12/2018,No specific target group,All age groups and genders (i.e. general community),"$72,588.00 ",WARREGO,MURWEH SHIRE,AUGATHELLA,South West,925,2,146.593228,-25.803624,Bendee Street,4477,4477
Capital Funding,Get Playing Places and Spaces,Get Playing Places and Spaces Round 7,Richmond Shire Council,GPPS-GPPS07-2018-0207,Richmond Shire Council,"install new irrigation, level an existing field and install a new scoreboard to support multi-sport at Charlie Whelow Oval, Richmond",Active,"Active Recreation,Athletics,Australian Football,Football,Oztag,Rugby League,Touch",12/12/2018,No specific target group,All age groups and genders (i.e. general community),"$98,392.00 ",TRAEGER,RICHMOND SHIRE,RICHMOND,Northern,967,3,143.138908,-20.731397,Simpson Street,4822,4822
Capital Funding,Get Playing Places and Spaces,Get Playing Places and Spaces Round 7,Innisfail United Football Club Incorporated,GPPS-GPPS07-2018-0210,Innisfail United Football Club Incorporated,"construct a new amenities block to support female participation in football and athletics at Castor Park, Mourilyan",Active,"Athletics,Football",12/12/2018,"No specific target group ,People with a Disability",All age groups and genders (i.e. general community),"$139,748.00 ",HILL,CASSOWARY COAST REGIONAL,MOURILYAN,Far North,867,1,146.040367,-17.585341,Mill Street,4858,4860
Capital Funding,Get Playing Places and Spaces,Get Playing Places and Spaces Round 7,Mackay Brothers Football Club Inc.,GPPS-GPPS07-2018-0212,Mackay Brothers Football Club Inc.,"construct a new multipurpose court at Leprechaun Park, Mackay",Active,"Active Recreation,Basketball,Disability Sports,Netball,Volleyball",12/12/2018,No specific target group,All age groups and genders (i.e. general community),"$139,023.00 ",MIRANI,MACKAY REGIONAL,PAGET,Northern,,,149.173309,-21.184829,435 Milton Street,4740,4740
Capital Funding,Get Playing Places and Spaces,Get Playing Places and Spaces Round 7,Musketeers Sports Club Inc,GPPS-GPPS07-2018-0225,Musketeers Sports Club Inc,"install a new batting cage to support baseball at Tivoli Sporting Complex, Ipswich",Active,"Baseball,Cricket,Softball",12/12/2018,No specific target group,All age groups and genders (i.e. general community),"$141,984.00 ",IPSWICH WEST,IPSWICH CITY,TIVOLI,North Coast,862,1,152.778836,-27.586753,69 Church Street,4305,4305
Capital Funding,Get Playing Places and Spaces,Get Playing Places and Spaces Round 7,Burke Shire Council,GPPS-GPPS07-2018-0232,Burke Shire Council,"install new irrigation, turf, fencing and goal posts to support multi-sport at the Phillip Yanner Memorial Ground at Burketown",Active,"Active Recreation,Athletics Little,Cricket,Football,Softball",12/12/2018,No specific target group,All age groups and genders (i.e. general community),"$150,000.00 ",TRAEGER,BURKE SHIRE,BURKETOWN,Far North,906,2,139.545735,-17.732244,Truganini Road,4701,4930
Capital Funding,Get Playing Places and Spaces,Get Playing Places and Spaces Round 7,Sunnybank Senior Rugby Club Inc.,GPPS-GPPS07-2018-0246,Sunnybank Senior Rugby Club Inc.,"upgrade existing lighting to support rugby union at DM Henderson Park, MacGregor",Active,"Active Play,Active Recreation,Rugby Union,Touch",12/12/2018,"Aboriginal and Torres Strait Islander people,Culturally and linguistically diverse (CALD)","All age groups and genders (i.e. general community) ,Female (0 - 17 years),Female (18 - 24 years),Female (25 - 54 years),Male (0 - 17 years),Male (18 - 24 years),Male (25 - 54 years),Male (55 years or older)","$150,000.00 ",TOOHEY,BRISBANE CITY,MACGREGOR,South Coast,959,3,153.074662,-27.572657,470 Mccullough Street,4109,4109
Capital Funding,Get Playing Places and Spaces,Get Playing Places and Spaces Round 7,Tully Netball Association Inc.,GPPS-GPPS07-2018-0251,Tully Netball Association Inc.,install new lighting to two existing courts to support netball at Tully State High School,Active,Netball,12/12/2018,No specific target group,All age groups and genders (i.e. general community),"$44,521.00 ",HILL,CASSOWARY COAST REGIONAL,TULLY,Far North,878,2,145.929546,-17.941071,59337 Bruce Highway,4854,4854
Capital Funding,Get Playing Places and Spaces,Get Playing Places and Spaces Round 7,Eidsvold Golf Club Inc.,GPPS-GPPS07-2018-0258,Eidsvold Golf Club Inc.,construct new practice green to support golf at Eidsvold,Active,Golf,12/12/2018,No specific target group,All age groups and genders (i.e. general community),"$10,400.00 ",CALLIDE,NORTH BURNETT REGIONAL,EIDSVOLD,South West,741,1,151.124734,-25.370285,Esplanade Street,4627,4627
Capital Funding,Get Playing Places and Spaces,Get Playing Places and Spaces Round 7,The Boys' Brigade Queensland Limited,GPPS-GPPS07-2018-0263,The Boys' Brigade Queensland Limited,construct new courts to support multi-sport at Mount Tarampa,Active,"Active Play,Active Recreation,Badminton,Basketball,Disability Sports,Futsal,Handball,Netball,Tennis,Volleyball,Wheelchair Basketball",12/12/2018,No specific target group,All age groups and genders (i.e. general community),"$150,000.00 ",NANANGO,SOMERSET REGIONAL,MOUNT TARAMPA,South West,926,2,152.455194,-27.440169,370 Watsons Road,4121,4122
