(Base) Category,(Delivery Area) Delivery Area,(Round) Round,Name,(Project) Id,(Project) Title,(Project) Description,(Project) Status,(Activity) Activity,(Approved/Not Approved Funding Details) Minister Approved Date,(Demographic Information) Age group,Total Updated Approved Amount,(Location) Electorate,(Location) LGA,(Location) Suburb/City,(State Region) State Region,(Location) SEIFA Ranking,(Location) SEIFA Decile,Longitude,Latitude,(Location) Address Line 1,Delivery Agent Address Postcode,Delivery Agent Mailing Address Postcode
Capital Funding,Get Playing Places and Spaces,Get Playing Places and Spaces Round 6,Springwood Branch Little Athletics Centre Inc.,GPPS-GPPS06-2017-0175,Springwood Branch Little Athletics Centre Inc.,supply and install sports field lighting to support little athletics at Meadowbrook,Active,"Athletics,Athletics Little",27/09/2017,"Female (0 - 17 years),Female (18 - 24 years),Female (25 - 54 years),Male (0 - 17 years),Male (18 - 24 years),Male (25 - 54 years)","$150,000.00 ",WATERFORD,LOGAN CITY,MEADOWBROOK,South Coast,0,0,153.152531,-27.658982,2-22 Golf Course Drive,4131,4127
Capital Funding,Get Playing Places and Spaces,Get Playing Places and Spaces Round 6,Trinity Beach Tennis Club Inc.,GPPS-GPPS06-2017-0181,Trinity Beach Tennis Club Inc.,"install new lighting, upgrade existing lighting, resurface courts, replace fencing and install electronic gate system to support tennis at Trinity Beach",Active,"Disability Sports,Tennis",27/09/2017,All age groups and genders (i.e. general community),"$115,250.00 ",BARRON RIVER,CAIRNS REGIONAL,TRINITY BEACH,Far North,920,2,145.6853,-16.794329,2 Pecten Close,4879,4879
Capital Funding,Get Playing Places and Spaces,Get Playing Places and Spaces Round 6,Ipswich Knights Soccer Club Inc.,GPPS-GPPS06-2017-0182,Ipswich Knights Soccer Club Inc,upgrade lighting to support football at Ipswich,Completed,Football,27/09/2017,"Female (0 - 17 years),Female (18 - 24 years),Female (25 - 54 years),Male (0 - 17 years),Male (18 - 24 years),Male (25 - 54 years),Male (55 years or older)","$147,984.00 ",IPSWICH,IPSWICH CITY,BUNDAMBA,North Coast,843,1,152.802008,-27.61043,254 Brisbane Road,4304,4304
Capital Funding,Get Playing Places and Spaces,Get Playing Places and Spaces Round 6,Mitchelton Sports Club Incorporated,GPPS-GPPS06-2017-0185,Mitchelton Sports Club Incorporated,install water supply and irrigation to three fields to support football at Everton Park,Completed,Football,27/09/2017,All age groups and genders (i.e. general community),"$150,000.00 ",EVERTON,BRISBANE CITY,EVERTON PARK,North Coast,1083,9,152.981101,-27.406054,102 Pullen Road,4053,4053
Capital Funding,Get Playing Places and Spaces,Get Playing Places and Spaces Round 6,Caloundra Off Road Cycling Association Inc.,GPPS-GPPS06-2017-0189,Caloundra Off Road Cycling Association Inc,upgrade trails network to support mountain biking at the Caloundra Town Reserve,Active,"Bushwalking,Mountain Biking,Mountain Bike Orienteering,Running",27/09/2017,"All age groups and genders (i.e. general community) ,Female (0 - 17 years),Female (18 - 24 years),Female (25 - 54 years),Female (55 years or older),Male (0 - 17 years),Male (18 - 24 years),Male (25 - 54 years),Male (55 years or older)","$150,000.00 ",KAWANA,SUNSHINE COAST REGIONAL,CALOUNDRA WEST,North Coast,0,0,153.113742,-26.788453,Quarry Road,4551,4551
Capital Funding,Get Playing Places and Spaces,Get Playing Places and Spaces Round 6,Springwood Suns Cricket Club Inc.,GPPS-GPPS06-2017-0190,Springwood Suns Cricket Club Inc.,supply and install sports field lighting to support cricket at Shailer Park,Active,Cricket,27/09/2017,All age groups and genders (i.e. general community),"$150,000.00 ",SPRINGWOOD,LOGAN CITY,SHAILER PARK,South Coast,1047,7,153.167571,-27.644378,4 Jodie Street,4128,4127
Capital Funding,Get Playing Places and Spaces,Get Playing Places and Spaces Round 6,Eastern Suburbs Soccer Club Ltd,GPPS-GPPS06-2017-0198,Eastern Suburbs Soccer Club Ltd,upgrade field two and install irrigation to support football at East Brisbane,Active,Football,27/09/2017,"Female (0 - 17 years),Female (18 - 24 years),Female (25 - 54 years),Male (0 - 17 years),Male (18 - 24 years),Male (25 - 54 years)","$109,635.00 ",SOUTH BRISBANE,BRISBANE CITY,EAST BRISBANE,South Coast,1117,10,153.052292,-27.4782,48 Hilton Street,4169,4169
Capital Funding,Get Playing Places and Spaces,Get Playing Places and Spaces Round 6,Walkerston B.m.x. Club Incorporated,GPPS-GPPS06-2017-0200,Walkerston B.M.X Club Incorporated,repair track and install administration hut to support BMX at Walkerston,Active,BMX,27/09/2017,All age groups and genders (i.e. general community),"$124,662.00 ",MIRANI,MACKAY REGIONAL,WALKERSTON,Northern,1023,6,149.070881,-21.166061,58 Creek Street,4751,4751
Capital Funding,Get Playing Places and Spaces,Get Playing Places and Spaces Round 6,Yeppoon Gymnastics & Movement Centre Inc,GPPS-GPPS06-2017-0202,Yeppoon Gymnastics & Movement Centre Inc,replace sprung wood floor to support gymnastics at Yeppoon,Completed,"Acrobatics,Active Play,Active Recreation,Gymnastics",27/09/2017,"Female (0 - 17 years),Female (18 - 24 years),Female (25 - 54 years),Male (0 - 17 years),Male (18 - 24 years),Male (25 - 54 years)","$67,545.00 ",KEPPEL,LIVINGSTONE SHIRE,BARMARYEE,Northern,1069,8,150.710489,-23.15332,34-38 Jabiru Drive,4703,4703
Capital Funding,Get Playing Places and Spaces,Get Playing Places and Spaces Round 6,Kedron Football Club Incorporated,GPPS-GPPS06-2017-0205,Kedron Football Club Incorporated,upgrade existing lighting on the main field to LED to support Australian football at Kedron,Completed,Australian Football,27/09/2017,All age groups and genders (i.e. general community),"$124,332.00 ",NUDGEE,BRISBANE CITY,KEDRON,North Coast,0,0,153.039941,-27.408745,100 Fifth Avenue,4031,4031
Capital Funding,Get Playing Places and Spaces,Get Playing Places and Spaces Round 6,Wangaratta Bowls Club Inc.,GPPS-GPPS06-2017-0214,Wangaratta Bowls Club Inc,upgrade lighting to support lawn bowls at Bowen,Active,Bowls - Lawn,27/09/2017,All age groups and genders (i.e. general community),"$12,870.00 ",BURDEKIN,WHITSUNDAY REGIONAL,BOWEN,Northern,907,2,148.232322,-19.979647,Mount Nutt Road,4805,4805
Capital Funding,Get Playing Places and Spaces,Get Playing Places and Spaces Round 6,Beenleigh Multisports Association Inc.,GPPS-GPPS06-2017-0229,Beenleigh Multisports Association Inc,replace sports field lighting to LED to support multi sports at Beenleigh,Active,"Australian Football,Gridiron,Rugby League,Softball,Touch",27/09/2017,All age groups and genders (i.e. general community),"$150,000.00 ",MACALISTER,LOGAN CITY,BEENLEIGH,South Coast,922,2,153.193032,-27.706199,39 Boundary Street,4207,4207
Capital Funding,Get Playing Places and Spaces,Get Playing Places and Spaces Round 6,North Rockhampton Golf Club Inc.,GPPS-GPPS06-2017-0230,North Rockhampton Golf Club Inc,"upgrade 18 tees, two greens and six fairways to support golf at Rockhampton",Active,Golf,27/09/2017,All age groups and genders (i.e. general community),"$139,083.00 ",ROCKHAMPTON,ROCKHAMPTON REGIONAL,KAWANA,Northern,948,3,150.495121,-23.358483,131 Richardson Road,4701,4701
Capital Funding,Get Playing Places and Spaces,Get Playing Places and Spaces Round 6,Cleveland - Thornlands Cricket Club Inc.,GPPS-GPPS06-2017-0242,Cleveland - Thornlands Cricket Club Inc.,upgrade the training nets facility to support cricket at Cleveland,Active,"Active Play,Active Recreation,Calisthenics,Cricket,Hockey",27/09/2017,"Female (0 - 17 years),Male (0 - 17 years),Male (18 - 24 years),Male (25 - 54 years),Male (55 years or older)","$130,920.00 ",OODGEROO,REDLAND CITY,CLEVELAND,South Coast,1093,9,153.272949,-27.53997,143-191 Fitzroy Steet,4163,4163
Capital Funding,Get Playing Places and Spaces,Get Playing Places and Spaces Round 6,Canungra Area Golf Club (cagc) Inc.,GPPS-GPPS06-2017-0249,Canungra Area Golf Club (CAGC) Inc.,upgrade tees and storage shed to support golf at Canungra,Active,"Active Recreation,Golf,Running,Walking",27/09/2017,"All age groups and genders (i.e. general community) ,Female (0 - 17 years),Female (18 - 24 years),Female (25 - 54 years),Female (55 years or older),Male (0 - 17 years),Male (18 - 24 years),Male (25 - 54 years),Male (55 years or older)","$148,272.00 ",SCENIC RIM,SCENIC RIM REGIONAL,WITHEREN,South West,1121,10,153.185823,-28.036576,Beechmont Road,4275,4275
Capital Funding,Get Playing Places and Spaces,Get Playing Places and Spaces Round 6,Queensland Police-citizens Youth Welfare Association,GPPS-GPPS06-2017-0263,Queensland Police-Citizens Youth Welfare Association (Bowen),"install gymnastics equipment, window tinting and doors to support gymnastics at Bowen",Active,"Active Play,Active Recreation,Basketball,Disability Sports,Football - Indoor,Gymnastics,Netball - Indoor,Squash",27/09/2017,All age groups and genders (i.e. general community),"$126,352.00 ",BURDEKIN,WHITSUNDAY REGIONAL,BOWEN,Northern,938,3,148.256494,-20.009549,2-24 Queens Road,4173,4173
Capital Funding,Get Playing Places and Spaces,Get Playing Places and Spaces Round 6,Noosa District Softball Association Inc,GPPS-GPPS06-2017-0264,Noosa District Softball Association Inc,replace damaged lighting to support softball at Noosa,Active,"Baseball,Orienteering,Softball",27/09/2017,All age groups and genders (i.e. general community),$0.00 ,NOOSA,NOOSA SHIRE,TEWANTIN,North Coast,0,0,153.025138,-26.389483,31 Butler Street,4565,4565
Capital Funding,Get Playing Places and Spaces,Get Playing Places and Spaces Round 6,Waterford Equestrian And Pony Club Inc.,GPPS-GPPS06-2017-0267,Waterford Equestrian And Pony Club,replace cross country jumps and upgrade cross country course to support equestrian at Buccan,Active,"Equestrian,Horse Riding - Recreational,Pony Club",27/09/2017,All age groups and genders (i.e. general community),"$150,000.00 ",LOGAN,LOGAN CITY,BUCCAN,South Coast,1041,7,153.116968,-27.730743,108-128 Weaber Road,4207,4133
Capital Funding,Get Playing Places and Spaces,Get Playing Places and Spaces Round 6,Mooloolaba Tennis Club Inc,GPPS-GPPS06-2017-0268,Mooloolaba Tennis Club Inc,upgrade lighting on ten courts to LED to support tennis at Mountain Creek,Completed,Tennis,27/09/2017,All age groups and genders (i.e. general community),"$150,000.00 ",BUDERIM,SUNSHINE COAST REGIONAL,MOUNTAIN CREEK,North Coast,986,4,153.103222,-26.686147,112 Lady Musgrave Drive,4557,4557
Capital Funding,Get Playing Places and Spaces,Get Playing Places and Spaces Round 6,Mackay Pioneer Bmx Club Incorporated,GPPS-GPPS06-2017-0278,Mackay Pioneer Bmx Club Incorporated,redesign and upgrade track to support BMX at Mackay,Active,BMX,27/09/2017,All age groups and genders (i.e. general community),"$150,000.00 ",MACKAY,MACKAY REGIONAL,ANDERGROVE,Northern,949,3,149.170895,-21.108597,3 Snow Wright Court,4740,4740
Capital Funding,Get Playing Places and Spaces,Get Playing Places and Spaces Round 6,Middlemount Rodeo Association Inc.,GPPS-GPPS06-2017-0280,Middlemount Rodeo Association Inc.,upgrade of lighting to main arena to Australian standards including upgrade of electrical infrastructure and upgrade of yards to competition standard to support horse sports at Middlemount,Active,"Campdraft,Equestrian,Horse Riding - Recreational,Rodeo",27/09/2017,All age groups and genders (i.e. general community),"$150,000.00 ",BURDEKIN,ISAAC REGIONAL,MIDDLEMOUNT,Northern,1005,5,148.701978,-22.832654,6351 Dysart-middlemount Road,4746,4746
Capital Funding,Get Playing Places and Spaces,Get Playing Places and Spaces Round 6,Southside Eagles Football Club Inc.,GPPS-GPPS06-2017-0281,Southside Eagles Football Club Inc,upgrade existing changerooms and amenities incorporating toilets and canteen to support football at Bulimba,Active,"Cricket,Football",27/09/2017,All age groups and genders (i.e. general community),"$150,000.00 ",BULIMBA,BRISBANE CITY,BULIMBA,South Coast,1130,10,153.057152,-27.452407,40 Godwin Street,4171,4171
Capital Funding,Get Playing Places and Spaces,Get Playing Places and Spaces Round 6,Port Douglas Outrigger Canoe Club Inc,GPPS-GPPS06-2017-0296,Port Douglas Outrigger Canoe Club Inc.,construct a clubhouse and boat storage shed to support outrigger canoeing at Port Douglas,Active,Outrigger Canoeing,27/09/2017,"Female (18 - 24 years),Female (25 - 54 years),Female (55 years or older),Male (18 - 24 years),Male (25 - 54 years),Male (55 years or older)","$71,761.00 ",COOK,DOUGLAS SHIRE,PORT DOUGLAS,Far North,1006,5,145.472122,-16.52004,14-22 Reef Street,4877,4877
Capital Funding,Get Playing Places and Spaces,Get Playing Places and Spaces Round 6,Wynnum Manly District Cricket Club Inc.,GPPS-GPPS06-2017-0302,Wynnum Manly District Cricket Club Inc.,install irrigation at Carmichael Park to support cricket and football at Tingalpa,Active,"Cricket,Football",27/09/2017,All age groups and genders (i.e. general community),"$141,532.00 ",LYTTON,BRISBANE CITY,TINGALPA,South Coast,1040,6,153.126817,-27.467941,175 Boundary Street,4173,4173
Capital Funding,Get Playing Places and Spaces,Get Playing Places and Spaces Round 6,Brisbane Softball Association Inc.,GPPS-GPPS06-2017-0307,Brisbane Softball Association Inc.,construct an equipment storage shed to support softball at Windsor,Completed,Softball,27/09/2017,All age groups and genders (i.e. general community),"$18,460.00 ",CLAYFIELD,BRISBANE CITY,WINDSOR,North Coast,1088,9,153.02606,-27.43944,90 Green Terrace,4030,4030
Capital Funding,Get Playing Places and Spaces,Get Playing Places and Spaces Round 6,The Young Men's Christian Association Of Brisbane,GPPS-GPPS06-2017-0311,The Young Men's Christian Association Of Brisbane,upgrading one indoor multipurpose area to support martial arts and fitness at Jamboree Heights,Active,"Acrobatics,Active Play,Active Recreation,Aerobics,Calisthenics,Cheerleading,Dance,Dancesport,Gymnastics,Ju Jitsu,Judo,Karate,Taekwondo,Tai Chi",27/09/2017,"Female (0 - 17 years),Female (55 years or older),Male (0 - 17 years),Male (55 years or older)","$150,000.00 ",MOUNT OMMANEY,BRISBANE CITY,JAMBOREE HEIGHTS,South Coast,1065,8,152.937953,-27.55783,76 Andaman Street,4006,4004
Capital Funding,Get Playing Places and Spaces,Get Playing Places and Spaces Round 6,Gympie And District Hockey Association Inc.,GPPS-GPPS06-2017-0313,Gympie & District Hockey Association Incorporated,"upgrading  amenities, kitchen and constructing disabled toilets to support hockey at Gympie",Active,Hockey,27/09/2017,All age groups and genders (i.e. general community),"$150,000.00 ",GYMPIE,GYMPIE REGIONAL,SOUTHSIDE,South West,794,1,152.654673,-26.200039,Woolgar Road,4570,4570
Capital Funding,Get Playing Places and Spaces,Get Playing Places and Spaces Round 6,Banana Shire Council,GPPS-GPPS06-2017-0314,Banana Shire Council,replace concrete skate park with modular skate park to support active recreation at Biloela,Active,"Active Play,Active Recreation,BMX ,Roller Blading,Roller Skating,Roller Sports,Skate - Scooter Activities,Skate Boarding",27/09/2017,"Female (0 - 17 years),Female (18 - 24 years),Male (0 - 17 years),Male (18 - 24 years),Male (25 - 54 years)","$150,000.00 ",CALLIDE,BANANA SHIRE,BILOELA,Northern,0,0,150.513764,-24.393537,Rainbow Street,4715,4715
Capital Funding,Get Playing Places and Spaces,Get Playing Places and Spaces Round 6,Bowen Tennis Association Inc,GPPS-GPPS06-2017-0319,Bowen Tennis Association Inc,construct new amenities including disabled access to support tennis at Bowen,Active,Tennis,27/09/2017,All age groups and genders (i.e. general community),"$124,820.00 ",BURDEKIN,WHITSUNDAY REGIONAL,BOWEN,Northern,907,2,148.232322,-19.979647,Mount Nutt Road,4805,4805
